%Data: Non clustered trilaterated Mobile Tower Localisation Locations
%Carrier: airtel
%Start  : 2017-02-01+00%3A00%3A00
%End    : 2017-03-03+23%3A00%3A00
@RELATION mobile-networks
@ATTRIBUTE latitude  NUMERIC
@ATTRIBUTE longitude  NUMERIC
@DATA
18.5350837377,73.8341707878
18.5351493369,73.8339998696
18.5435873623,73.8671505744
18.5435743127,73.8670276836
18.515540425,73.855257824
18.5107110995,73.8760333114
18.5297939327,73.891972271
18.5297745089,73.8919528422
18.5297997216,73.891966399
18.5297549733,73.8920117837
18.5297484434,73.8920184047
18.5297941724,73.8919720365
18.5297520421,73.8920093558
18.5297744747,73.8919529472
18.547778648,73.8633745033
18.5477753715,73.8633540629
18.5246432614,73.8981496535
18.5243620947,73.8985945229
18.5242897939,73.8987101246
18.4985435899,73.8327688228
18.5407667204,73.8161656697
18.5407505588,73.8162485428
18.5380717525,73.802537156
18.5104773385,73.8772239836
18.5104199007,73.8772846557
18.5104907682,73.8772098013
18.510451602,73.8772511803
18.5105231147,73.8775049669
18.5104724381,73.8771939136
18.5103960246,73.8772337106
18.5105879279,73.8772940547
18.512466353,73.8485367851
18.5124216076,73.8485059326
18.51241301,73.8485000035
18.5297664582,73.8918023582
18.4921193924,73.8697809959
18.5088100298,73.8465687683
18.5067747316,73.8525803557
18.5092526257,73.8544556237
18.5089278444,73.8465487546
18.5092290883,73.8538824157
18.510445926,73.8772086962
18.5103976172,73.8772869631
18.5104282547,73.8772373313
18.5104603858,73.8771852882
18.5105210546,73.8775153154
18.510460701,73.8772690041
18.5103410741,73.8771823792
18.5103727296,73.8771831512
18.5051637637,73.9078988115
18.5053983865,73.9082341583
18.505234857,73.9079242834
18.5306761123,73.816967549
18.5068607946,73.855173639
18.5068716235,73.8551439277
18.5068856948,73.8551053507
18.5068774315,73.855149203
18.5068816434,73.8551530316
18.5068549742,73.8551794037
18.5070014685,73.8550346265
18.505902032,73.8542626073
18.5068198219,73.8551455991
18.5308063795,73.8168977421
18.5307633659,73.8167495291
18.505144349,73.9079304769
18.5209223284,73.9051188251
18.5209693518,73.9051141934
18.5495852254,73.8503522199
18.5493871762,73.8502837283
18.5483160555,73.8499133127
18.510583806,73.8771900482
18.5298284817,73.8919811329
18.507416196,73.8001323222
18.5283248451,73.8887813145
18.5308878,73.8875553702
18.5556041337,73.8703708657
18.5556958992,73.8705642228
18.5556392586,73.8704448588
18.5555694416,73.8702977732
18.5557792129,73.8704158361
18.5557791965,73.8704158309
18.5555760132,73.8703636428
18.55577923,73.8704158256
18.5556110829,73.8707152891
18.5555852395,73.870456064
18.5297491921,73.8920094292
18.5297540843,73.8919507775
18.5095434428,73.8502743711
18.5557091071,73.870315382
18.5556760123,73.8703328742
18.5556833114,73.8703290163
18.5556246719,73.8703600102
18.5556689525,73.8702508207
18.5556963242,73.8702948176
18.5556771005,73.8703453799
18.5556841007,73.8704269838
18.5556574722,73.8703969669
18.4980038975,73.8053692178
18.5477371185,73.8633713089
18.535533723,73.8339738343
18.5354920277,73.8339368161
18.5074571549,73.8001197962
18.5121623185,73.8473973736
18.5121343154,73.8474149326
18.5308829976,73.8876768146
18.5569179357,73.9078589949
18.5264323873,73.822281804
18.5296352373,73.8217556971
18.5307848805,73.816912368
18.5308062204,73.8169790677
18.5435781911,73.867085851
18.543572742,73.867110755
18.5105700613,73.8772691078
18.5104684169,73.8772196424
18.5105059271,73.8772378956
18.5104794648,73.8772784886
18.5104475173,73.8772817968
18.5105377293,73.877189122
18.5104550164,73.8772255479
18.5104398643,73.8773392423
18.5099981993,73.888345805
18.5100205106,73.8866414589
18.5105495798,73.8773720065
18.5104786565,73.8771541281
18.5435953466,73.8671016149
18.5068497357,73.8551610858
18.5067039625,73.8549955691
18.5407058929,73.8161126171
18.540740017,73.8162377829
18.548248918,73.8499253168
18.5209096423,73.9051033788
18.5187785663,73.8927210867
18.5184244346,73.8937592056
18.521321088,73.894908557
18.5236418212,73.8958294183
18.5229276426,73.8955460316
18.5190612933,73.8940118992
18.5325073391,73.8942809766
18.5124881039,73.8483991712
18.5125011838,73.8483485919
18.5124004193,73.8485398979
18.512418921,73.8484898072
18.5106467828,73.8514885213
18.5563312309,73.8673481733
18.5556491769,73.8703113022
18.5556649334,73.8703123747
18.5557791249,73.8704157338
18.555702537,73.8703541972
18.5557104697,73.8703536052
18.5105624202,73.8773891453
18.5477779256,73.8633538525
18.5354688776,73.8339909861
18.548260478,73.8499019626
18.547665841,73.8469210589
18.5483148551,73.8498700291
18.5472509456,73.8462209523
18.5482563445,73.8498920122
18.5483947246,73.8498400194
18.5066416813,73.855267409
18.5196146401,73.8925731209
18.5176774292,73.8945036065
18.4985926767,73.8329064671
18.4986217843,73.832876103
18.493777537,73.8200157295
18.5068492003,73.8552625988
18.5068244913,73.8552099823
18.5153025427,73.7995428229
18.5106010755,73.8771350356
18.543433523,73.866875686
18.5556452323,73.8703234001
18.5068572936,73.8551591788
18.5071857731,73.8523088214
18.5068735992,73.8550178395
18.5557006653,73.8703616348
18.5150157683,73.8547416064
18.5157563337,73.8354497472
18.5160926611,73.8355497689
18.4936620432,73.8198980366
18.5100641586,73.8866285658
18.498497484,73.832618515
18.4984967676,73.8326033125
18.5511940322,73.8491871598
18.548318423,73.8498716949
18.5182631173,73.8960871911
18.5515729005,73.8491469662
18.4986839888,73.8329400537
18.4937992999,73.8199674642
18.5066323465,73.8497419963
18.5081054782,73.852090843
18.5435478343,73.8670369574
18.5483221623,73.8498059731
