%Data: Non clustered trilaterated Mobile Tower Localisation Locations
%Carrier: airtel
%Start  : 2017-01-25+00%3A00%3A00
%End    : 2017-01-30+00%3A00%3A00
@RELATION mobile-networks
@ATTRIBUTE latitude  NUMERIC
@ATTRIBUTE longitude  NUMERIC
@DATA
18.5311890469,73.8557356542
18.531264574,73.8556964861
18.5313041872,73.8556759428
18.5301928701,73.8562522633
18.5301536474,73.8562726036
18.5302108159,73.8562429568
18.530228533,73.856233769
18.5302229638,73.856236657
18.5302279649,73.8562340636
18.5304566142,73.8561154887
18.5305451311,73.8560695847
18.53063457,73.8560232026
18.5306346888,73.856023141
18.5306102117,73.8560358346
18.5301823624,73.8562577124
18.5302232649,73.8562365009
18.5302321774,73.856231879
18.5303237138,73.8561844094
18.5302559817,73.8562195344
18.5302812208,73.8562064457
18.5301822014,73.8562577959
18.530163374,73.8562675595
18.5303446658,73.8561735439
18.5300937039,73.8563036896
18.5313845144,73.8564393467
18.5314211775,73.8565713379
18.5314832494,73.8567948047
18.5315560024,73.8570567255
18.5309346749,73.8548199325
18.5308485668,73.8545099575
18.5304953589,73.8532385019
18.5316126744,73.856539856
18.5317082291,73.8567713679
18.5318589001,73.8571364194
18.5320429531,73.8575823534
18.5309099084,73.8548372331
18.5307852989,73.854535346
18.5304362397,73.8536897051
18.5319041918,73.8569079238
18.5321399435,73.8573920004
18.5324428932,73.8580140645
18.530899309,73.8548446373
18.530754658,73.8545476417
18.5304151589,73.8538505942
18.5297327204,73.8557117102
18.5290695404,73.8549326637
18.5278154114,73.8534594665
18.5301127741,73.8561581713
18.5298059579,73.8557670282
18.5297832104,73.8557339513
18.5293817729,73.8551502297
18.5288926483,73.8544390169
18.528206595,73.8534414865
18.5301067201,73.8562043663
18.5299388885,73.8558382191
18.529904829,73.8557875251
18.529560168,73.8552745372
18.5291655018,73.8546871311
18.5286504078,73.8539205017
18.5297913365,73.855618604
18.5301194788,73.85610701
18.5299452872,73.855841646
18.5299068301,73.8557884067
18.5295107764,73.8552401207
18.5290075939,73.8545435405
18.5282288167,73.8534654716
18.529786576,73.8556219293
18.5301221649,73.8560865135
18.5298332768,73.855756006
18.5292906689,73.8550867478
18.5284087222,73.8539989724
18.5301192525,73.8561087361
18.5297706117,73.8557284015
18.5290190816,73.8548975038
18.5272687115,73.8529623536
18.5301186652,73.8561132184
18.5301372559,73.8559444551
18.5298867102,73.855810275
18.5298881779,73.8558110611
18.5298507194,73.8557910002
18.5299151761,73.85582552
18.5298466109,73.8557888
18.529852947,73.8557921932
18.529852947,73.8557921932
18.5298899072,73.8558119873
18.529859635,73.855795775
18.5298740671,73.8558035041
18.5298406269,73.8557855952
